10200 0.25
2 1353 test0
2 7711 test1
2 6731 test2
2 2495 test3
2 6772 test4
2 9847 test5
2 1300 test6
2 6779 test7
2 8431 test8
2 3821 test9
2 8110 test10
2 8612 test11
2 138 test12
2 9990 test13
2 429 test14
2 4334 test15
2 2568 test16
2 6898 test17
2 1639 test18
2 7936 test19
2 4044 test20
2 3943 test21
2 3492 test22
2 3980 test23
2 5600 test24
2 826 test25
2 7477 test26
2 6793 test27
2 4673 test28
2 5757 test29
2 3293 test30
2 3723 test31
2 7482 test32
2 1010 test33
2 16 test34
2 2308 test35
2 6715 test36
2 3357 test37
2 8855 test38
2 9348 test39
2 3221 test40
2 151 test41
2 1469 test42
2 636 test43
2 5909 test44
2 319 test45
2 9898 test46
2 625 test47
2 2747 test48
2 2779 test49
1 
2 2505 test50
2 4235 test51
2 7799 test52
2 4684 test53
2 6151 test54
2 7261 test55
2 415 test56
2 319 test57
2 347 test58
2 1951 test59
2 4078 test60
2 9440 test61
2 5869 test62
2 7062 test63
2 4460 test64
2 2234 test65
2 2100 test66
2 598 test67
2 3350 test68
2 3401 test69
2 6895 test70
2 5726 test71
2 5434 test72
2 800 test73
2 4543 test74
2 5169 test75
2 7154 test76
2 3781 test77
2 5712 test78
2 4949 test79
2 4794 test80
2 4186 test81
2 3859 test82
2 5972 test83
2 4639 test84
2 6248 test85
2 7401 test86
2 368 test87
2 9463 test88
2 9476 test89
2 4510 test90
2 6884 test91
2 8503 test92
2 6675 test93
2 1647 test94
2 4485 test95
2 8596 test96
2 3914 test97
2 2777 test98
2 8647 test99
1 
2 6297 test100
2 61 test101
2 5248 test102
2 8092 test103
2 9426 test104
2 5577 test105
2 7800 test106
2 1607 test107
2 531 test108
2 5710 test109
2 9188 test110
2 7919 test111
2 8473 test112
2 9892 test113
2 2921 test114
2 2751 test115
2 3594 test116
2 1950 test117
2 9069 test118
2 4730 test119
2 9563 test120
2 9932 test121
2 2850 test122
2 9563 test123
2 7918 test124
2 794 test125
2 8505 test126
2 4907 test127
2 9158 test128
2 5254 test129
2 4420 test130
2 588 test131
2 1225 test132
2 8127 test133
2 5021 test134
2 2402 test135
2 5648 test136
2 2937 test137
2 476 test138
2 402 test139
2 9646 test140
2 8205 test141
2 7721 test142
2 8514 test143
2 8827 test144
2 5692 test145
2 8782 test146
2 1007 test147
2 4124 test148
2 7172 test149
1 
2 8200 test150
2 6238 test151
2 4624 test152
2 6508 test153
2 7210 test154
2 9082 test155
2 5497 test156
2 3353 test157
2 9806 test158
2 3692 test159
2 8757 test160
2 3779 test161
2 6217 test162
2 9721 test163
2 41 test164
2 8882 test165
2 2314 test166
2 709 test167
2 8889 test168
2 7890 test169
2 8031 test170
2 3045 test171
2 8742 test172
2 9013 test173
2 3891 test174
2 5458 test175
2 2980 test176
2 6551 test177
2 1048 test178
2 7465 test179
2 3271 test180
2 9565 test181
2 7565 test182
2 3536 test183
2 6986 test184
2 5991 test185
2 4172 test186
2 6851 test187
2 619 test188
2 9093 test189
2 3539 test190
2 3132 test191
2 2774 test192
2 6133 test193
2 4364 test194
2 8209 test195
2 8636 test196
2 4314 test197
2 5643 test198
2 4520 test199
1 
2 9184 test200
2 2648 test201
2 9188 test202
2 1829 test203
2 5007 test204
2 8156 test205
2 23 test206
2 1444 test207
2 5817 test208
2 2329 test209
2 7097 test210
2 8769 test211
2 7632 test212
2 701 test213
2 8096 test214
2 6500 test215
2 7756 test216
2 4146 test217
2 4282 test218
2 2139 test219
2 4920 test220
2 9680 test221
2 523 test222
2 9520 test223
2 5869 test224
2 9599 test225
2 5569 test226
2 7514 test227
2 5896 test228
2 7066 test229
2 3365 test230
2 1151 test231
2 619 test232
2 9920 test233
2 8977 test234
2 2150 test235
2 1181 test236
2 3173 test237
2 1912 test238
2 1210 test239
2 3662 test240
2 3509 test241
2 6279 test242
2 1691 test243
2 5740 test244
2 3560 test245
2 8710 test246
2 5919 test247
2 8779 test248
2 3584 test249
1 
2 6186 test250
2 1062 test251
2 6852 test252
2 8623 test253
2 9178 test254
2 2283 test255
2 2941 test256
2 3846 test257
2 5564 test258
2 4774 test259
2 2961 test260
2 3624 test261
2 9532 test262
2 6654 test263
2 3739 test264
2 9870 test265
2 2296 test266
2 2572 test267
2 8404 test268
2 9283 test269
2 6379 test270
2 8954 test271
2 5207 test272
2 5919 test273
2 1908 test274
2 5867 test275
2 3374 test276
2 8625 test277
2 7106 test278
2 3236 test279
2 5355 test280
2 6086 test281
2 5966 test282
2 1544 test283
2 9284 test284
2 3078 test285
2 5717 test286
2 9585 test287
2 6235 test288
2 557 test289
2 8225 test290
2 2762 test291
2 7401 test292
2 2423 test293
2 6915 test294
2 7962 test295
2 2343 test296
2 7029 test297
2 9839 test298
2 3914 test299
1 
2 4905 test300
2 2764 test301
2 4211 test302
2 6760 test303
2 2199 test304
2 44 test305
2 197 test306
2 756 test307
2 7401 test308
2 6766 test309
2 9721 test310
2 5143 test311
2 8959 test312
2 2263 test313
2 2460 test314
2 6324 test315
2 1962 test316
2 3305 test317
2 8191 test318
2 583 test319
2 5131 test320
2 7753 test321
2 7939 test322
2 5786 test323
2 1301 test324
2 603 test325
2 3870 test326
2 5254 test327
2 5505 test328
2 5337 test329
2 3720 test330
2 3398 test331
2 2223 test332
2 179 test333
2 1525 test334
2 6950 test335
2 4547 test336
2 1216 test337
2 6990 test338
2 9723 test339
2 8211 test340
2 4370 test341
2 4542 test342
2 3773 test343
2 5052 test344
2 6616 test345
2 3062 test346
2 7471 test347
